Date,Close
2/1/2020,1495
3/1/2020,1465
6/1/2020,1465
7/1/2020,1540
8/1/2020,1505
9/1/2020,1495
10/1/2020,1550
13/01/2020,1565
14/01/2020,1560
15/01/2020,1475
16/01/2020,1470
17/01/2020,1480
20/01/2020,1435
21/01/2020,1415
22/01/2020,1365
23/01/2020,1380
24/01/2020,1380
27/01/2020,1295
28/01/2020,1325
29/01/2020,1305
30/01/2020,1295
31/01/2020,1225
3/2/2020,1225
4/2/2020,1270
5/2/2020,1315
6/2/2020,1305
7/2/2020,1305
10/2/2020,1280
11/2/2020,1315
12/2/2020,1330
13/02/2020,1350
14/02/2020,1320
17/02/2020,1320
18/02/2020,1330
19/02/2020,1305
20/02/2020,1350
21/02/2020,1310
24/02/2020,1285
25/02/2020,1285
26/02/2020,1250
27/02/2020,1165
28/02/2020,1155
2/3/2020,1115
3/3/2020,1140
4/3/2020,1205
5/3/2020,1175
6/3/2020,1160
9/3/2020,1010
10/3/2020,1030
11/3/2020,965
12/3/2020,830
13/03/2020,830
16/03/2020,775
17/03/2020,725
18/03/2020,690
19/03/2020,645
20/03/2020,745
23/03/2020,775
24/03/2020,850
26/03/2020,965
27/03/2020,990
30/03/2020,925
31/03/2020,990
1/4/2020,1020
2/4/2020,1040
3/4/2020,1100
6/4/2020,1150
7/4/2020,1140
8/4/2020,1065
9/4/2020,1040
13/04/2020,1040
14/04/2020,1080
15/04/2020,1045
16/04/2020,975
17/04/2020,1035
20/04/2020,985
21/04/2020,930
22/04/2020,885
23/04/2020,905
24/04/2020,875
27/04/2020,900
28/04/2020,890
29/04/2020,885
30/04/2020,920
4/5/2020,890
5/5/2020,905
6/5/2020,950
8/5/2020,1025
11/5/2020,1030
12/5/2020,1005
13/05/2020,1000
14/05/2020,945
15/05/2020,925
18/05/2020,1020
19/05/2020,1005
20/05/2020,980
26/05/2020,1000
27/05/2020,1000
28/05/2020,1030
29/05/2020,1100
2/6/2020,1145
3/6/2020,1165
4/6/2020,1120
5/6/2020,1100
8/6/2020,1160
9/6/2020,1180
10/6/2020,1100
11/6/2020,1070
12/6/2020,1060
15/06/2020,1020
16/06/2020,1075
17/06/2020,1070
18/06/2020,1030
19/06/2020,1040
22/06/2020,1030
23/06/2020,1005
24/06/2020,1045
25/06/2020,1005
26/06/2020,1015
29/06/2020,1005
30/06/2020,995
1/7/2020,1045
2/7/2020,1050
3/7/2020,1040
6/7/2020,1065
7/7/2020,1050
8/7/2020,1065
9/7/2020,1095
10/7/2020,1085
13/07/2020,1155
14/07/2020,1155
15/07/2020,1130
16/07/2020,1110
17/07/2020,1155
20/07/2020,1130
21/07/2020,1135
22/07/2020,1125
23/07/2020,1130
24/07/2020,1090
27/07/2020,1110
28/07/2020,1090
29/07/2020,1085
30/07/2020,1085
3/8/2020,1030
4/8/2020,1035
5/8/2020,1050
6/8/2020,1115
7/8/2020,1095
10/8/2020,1140
11/8/2020,1150
12/8/2020,1120
13/08/2020,1115
14/08/2020,1115
18/08/2020,1115
19/08/2020,1115
24/08/2020,1095
25/08/2020,1100
26/08/2020,1110
27/08/2020,1125
28/08/2020,1145
31/08/2020,1085
1/9/2020,1140
2/9/2020,1215
3/9/2020,1205
4/9/2020,1205
7/9/2020,1250
8/9/2020,1240
9/9/2020,1200
10/9/2020,1120
11/9/2020,1180
14/09/2020,1200
15/09/2020,1190
16/09/2020,1145
17/09/2020,1130
18/09/2020,1145
21/09/2020,1145
22/09/2020,1160
23/09/2020,1160
24/09/2020,1130
25/09/2020,1140
28/09/2020,1130
29/09/2020,1165
30/09/2020,1135
1/10/2020,1180
2/10/2020,1140
5/10/2020,1125
6/10/2020,1125
7/10/2020,1130
8/10/2020,1130
9/10/2020,1115
12/10/2020,1110
13/10/2020,1150
14/10/2020,1185
15/10/2020,1155
16/10/2020,1220
19/10/2020,1220
20/10/2020,1210
21/10/2020,1200
22/10/2020,1160
23/10/2020,1145
26/10/2020,1145
27/10/2020,1125
2/11/2020,1130
3/11/2020,1145
4/11/2020,1110
5/11/2020,1140
6/11/2020,1140
9/11/2020,1130
10/11/2020,1140
11/11/2020,1205
12/11/2020,1175
13/11/2020,1165
16/11/2020,1195
17/11/2020,1180
18/11/2020,1190
19/11/2020,1240
20/11/2020,1215
23/11/2020,1290
24/11/2020,1300
25/11/2020,1300
26/11/2020,1360
27/11/2020,1390
30/11/2020,1390
1/12/2020,1390
2/12/2020,1390
3/12/2020,1375
4/12/2020,1435
7/12/2020,1485
8/12/2020,1545
10/12/2020,1545
11/12/2020,1535
14/12/2020,1570
15/12/2020,1530
16/12/2020,1555
17/12/2020,1490
18/12/2020,1480
21/12/2020,1555
22/12/2020,1470
23/12/2020,1490
28/12/2020,1505
29/12/2020,1490
30/12/2020,1430
4/1/2021,1455
5/1/2021,1425
6/1/2021,1375
7/1/2021,1405
8/1/2021,1445
11/1/2021,1525
12/1/2021,1475
13/01/2021,1515
14/01/2021,1495
15/01/2021,1455
18/01/2021,1440
19/01/2021,1415
20/01/2021,1415
21/01/2021,1410
22/01/2021,1350
25/01/2021,1295
26/01/2021,1260
27/01/2021,1245
28/01/2021,1200
29/01/2021,1200
1/2/2021,1230
2/2/2021,1200
3/2/2021,1170
4/2/2021,1165
5/2/2021,1210
8/2/2021,1220
9/2/2021,1210
10/2/2021,1200
11/2/2021,1215
15/02/2021,1215
16/02/2021,1210
17/02/2021,1180
18/02/2021,1175
19/02/2021,1180
22/02/2021,1210
23/02/2021,1205
24/02/2021,1185
25/02/2021,1200
26/02/2021,1180
1/3/2021,1185
2/3/2021,1185
3/3/2021,1185
4/3/2021,1220
5/3/2021,1180
8/3/2021,1175
9/3/2021,1165
10/3/2021,1170
12/3/2021,1210
15/03/2021,1235
16/03/2021,1220
17/03/2021,1230
18/03/2021,1270
19/03/2021,1300
22/03/2021,1285
23/03/2021,1300
24/03/2021,1225
25/03/2021,1205
26/03/2021,1220
29/03/2021,1205
30/03/2021,1175
31/03/2021,1175
1/4/2021,1180
5/4/2021,1185
6/4/2021,1210
7/4/2021,1220
8/4/2021,1230
9/4/2021,1205
12/4/2021,1180
13/04/2021,1160
14/04/2021,1195
15/04/2021,1190
16/04/2021,1185
19/04/2021,1185
20/04/2021,1185
21/04/2021,1180
22/04/2021,1170
23/04/2021,1200
26/04/2021,1210
27/04/2021,1210
28/04/2021,1215
29/04/2021,1255
30/04/2021,1245
3/5/2021,1240
4/5/2021,1250
5/5/2021,1195
6/5/2021,1185
7/5/2021,1185
10/5/2021,1195
11/5/2021,1195
17/05/2021,1185
18/05/2021,1200
19/05/2021,1175
20/05/2021,1170
21/05/2021,1165
24/05/2021,1160
25/05/2021,1170
27/05/2021,1165
28/05/2021,1170
31/05/2021,1190
2/6/2021,1260
3/6/2021,1250
4/6/2021,1230
7/6/2021,1205
8/6/2021,1210
9/6/2021,1215
10/6/2021,1210
11/6/2021,1315
14/06/2021,1325
15/06/2021,1310
16/06/2021,1395
17/06/2021,1355
18/06/2021,1310
21/06/2021,1285
22/06/2021,1290
23/06/2021,1260
24/06/2021,1245
25/06/2021,1285
28/06/2021,1235
29/06/2021,1215
30/06/2021,1205
1/7/2021,1205
2/7/2021,1260
5/7/2021,1235
6/7/2021,1290
7/7/2021,1250
8/7/2021,1220
9/7/2021,1250
12/7/2021,1235
13/07/2021,1230
14/07/2021,1220
15/07/2021,1225
16/07/2021,1240
19/07/2021,1250
21/07/2021,1240
22/07/2021,1335
23/07/2021,1305
26/07/2021,1280
27/07/2021,1275
28/07/2021,1270
29/07/2021,1325
30/07/2021,1335
2/8/2021,1370
3/8/2021,1350
4/8/2021,1360
5/8/2021,1300
6/8/2021,1290
9/8/2021,1300
10/8/2021,1340
12/8/2021,1410
13/08/2021,1385
16/08/2021,1365
18/08/2021,1340
19/08/2021,1295
20/08/2021,1265
23/08/2021,1315
24/08/2021,1260
25/08/2021,1255
26/08/2021,1280
27/08/2021,1245
30/08/2021,1300
31/08/2021,1260
1/9/2021,1320
2/9/2021,1320
3/9/2021,1355
6/9/2021,1365
7/9/2021,1345
8/9/2021,1330
9/9/2021,1365
10/9/2021,1350
13/09/2021,1340
14/09/2021,1385
15/09/2021,1390
16/09/2021,1390
17/09/2021,1335
20/09/2021,1320
21/09/2021,1345
22/09/2021,1400
23/09/2021,1415
24/09/2021,1500
27/09/2021,1510
28/09/2021,1740
29/09/2021,1720
30/09/2021,1760
1/10/2021,1780
4/10/2021,1860
5/10/2021,1830
6/10/2021,1865
7/10/2021,1735
8/10/2021,1815
