Date,Close
2/1/2020,840
3/1/2020,850
6/1/2020,885
7/1/2020,875
8/1/2020,905
9/1/2020,880
10/1/2020,885
13/01/2020,870
14/01/2020,850
15/01/2020,835
16/01/2020,845
17/01/2020,840
20/01/2020,795
21/01/2020,795
22/01/2020,770
23/01/2020,780
24/01/2020,785
27/01/2020,750
28/01/2020,750
29/01/2020,750
30/01/2020,740
31/01/2020,720
3/2/2020,715
4/2/2020,730
5/2/2020,725
6/2/2020,735
7/2/2020,730
10/2/2020,720
11/2/2020,720
12/2/2020,715
13/02/2020,680
14/02/2020,675
17/02/2020,680
18/02/2020,690
19/02/2020,705
20/02/2020,710
21/02/2020,700
24/02/2020,685
25/02/2020,660
26/02/2020,630
27/02/2020,600
28/02/2020,575
2/3/2020,585
3/3/2020,615
4/3/2020,630
5/3/2020,630
6/3/2020,610
9/3/2020,555
10/3/2020,575
11/3/2020,540
12/3/2020,490
13/03/2020,478
16/03/2020,446
17/03/2020,416
18/03/2020,388
19/03/2020,362
20/03/2020,374
23/03/2020,348
24/03/2020,364
26/03/2020,416
27/03/2020,460
30/03/2020,432
31/03/2020,450
1/4/2020,436
2/4/2020,452
3/4/2020,464
6/4/2020,540
7/4/2020,555
8/4/2020,520
9/4/2020,520
13/04/2020,535
14/04/2020,555
15/04/2020,525
16/04/2020,505
17/04/2020,520
20/04/2020,500
21/04/2020,482
22/04/2020,492
23/04/2020,498
24/04/2020,494
27/04/2020,505
28/04/2020,492
29/04/2020,498
30/04/2020,510
4/5/2020,494
5/5/2020,500
6/5/2020,500
8/5/2020,535
11/5/2020,530
12/5/2020,515
13/05/2020,535
14/05/2020,515
15/05/2020,520
18/05/2020,525
19/05/2020,525
20/05/2020,520
26/05/2020,530
27/05/2020,520
28/05/2020,525
29/05/2020,535
2/6/2020,555
3/6/2020,555
4/6/2020,570
5/6/2020,590
8/6/2020,630
9/6/2020,610
10/6/2020,595
11/6/2020,580
12/6/2020,580
15/06/2020,565
16/06/2020,610
17/06/2020,635
18/06/2020,620
19/06/2020,610
22/06/2020,605
23/06/2020,595
24/06/2020,605
25/06/2020,600
26/06/2020,605
29/06/2020,595
30/06/2020,605
1/7/2020,600
2/7/2020,610
3/7/2020,600
6/7/2020,640
7/7/2020,650
8/7/2020,660
9/7/2020,650
10/7/2020,645
13/07/2020,675
14/07/2020,660
15/07/2020,655
16/07/2020,650
17/07/2020,660
20/07/2020,650
21/07/2020,685
22/07/2020,685
23/07/2020,690
24/07/2020,685
27/07/2020,725
28/07/2020,720
29/07/2020,730
30/07/2020,730
3/8/2020,700
4/8/2020,705
5/8/2020,750
6/8/2020,835
7/8/2020,840
10/8/2020,825
11/8/2020,800
12/8/2020,770
13/08/2020,770
14/08/2020,785
18/08/2020,805
19/08/2020,795
24/08/2020,780
25/08/2020,790
26/08/2020,785
27/08/2020,795
28/08/2020,820
31/08/2020,820
1/9/2020,840
2/9/2020,850
3/9/2020,830
4/9/2020,825
7/9/2020,825
8/9/2020,825
9/9/2020,795
10/9/2020,740
11/9/2020,775
14/09/2020,800
15/09/2020,805
16/09/2020,795
17/09/2020,775
18/09/2020,790
21/09/2020,765
22/09/2020,735
23/09/2020,750
24/09/2020,720
25/09/2020,730
28/09/2020,725
29/09/2020,715
30/09/2020,705
1/10/2020,735
2/10/2020,725
5/10/2020,720
6/10/2020,720
7/10/2020,715
8/10/2020,720
9/10/2020,765
12/10/2020,780
13/10/2020,765
14/10/2020,955
15/10/2020,935
16/10/2020,940
19/10/2020,1055
20/10/2020,1035
21/10/2020,1100
22/10/2020,1085
23/10/2020,1085
26/10/2020,1060
27/10/2020,1055
2/11/2020,1100
3/11/2020,1110
4/11/2020,1105
5/11/2020,1125
6/11/2020,1125
