Date,Close,,,,,
2/1/2020,6690,,,,,
3/1/2020,6800,,,,,
6/1/2020,6735,,,,,
7/1/2020,6740,,,,,
8/1/2020,6680,,,,,
9/1/2020,6740,,,,,
10/1/2020,6725,,,,,
13/01/2020,6745,,,,,
14/01/2020,6870,,,,,
15/01/2020,6835,,,,,
16/01/2020,6850,,,,,
17/01/2020,6875,,,,,
20/01/2020,6835,,,,,
21/01/2020,6830,,,,,
22/01/2020,6840,,,,,
23/01/2020,6840,,,,,
24/01/2020,6810,,,,,
27/01/2020,6840,,,,,
28/01/2020,6790,,,,,
29/01/2020,6785,,,,,
30/01/2020,6740,,,,,
31/01/2020,6480,,,,,
3/2/2020,6440,,,,,
4/2/2020,6600,,,,,
5/2/2020,6730,,,,,
6/2/2020,6740,,,,,
7/2/2020,6760,,,,,
10/2/2020,6785,,,,,
11/2/2020,6780,,,,,
12/2/2020,6800,,,,,
13/02/2020,6790,,,,,
14/02/2020,6680,,,,,
17/02/2020,6720,,,,,
18/02/2020,6695,,,,,
19/02/2020,6695,,,,,
20/02/2020,6595,,,,,
21/02/2020,6615,,,,,
24/02/2020,6525,,,,,
25/02/2020,6530,,,,,
26/02/2020,6420,,,,,
27/02/2020,6290,,,,,
28/02/2020,6290,,,,,
2/3/2020,6080,,,,,
3/3/2020,6320,,,,,
4/3/2020,6440,,,,,
5/3/2020,6435,,,,,
6/3/2020,6200,,,,,
9/3/2020,5785,,,,,
10/3/2020,5925,,,,,
11/3/2020,5850,,,,,
12/3/2020,5560,,,,,
13/03/2020,5660,,,,,
16/03/2020,5505,,,,,
17/03/2020,5120,,,,,
18/03/2020,5000,,,,,
19/03/2020,4650,,,,,
20/03/2020,4735,,,,,
23/03/2020,4430,,,,,
24/03/2020,4500,,,,,
26/03/2020,5280,,,,,
27/03/2020,5510,,,,,
30/03/2020,5495,,,,,
31/03/2020,5525,,,,,
1/4/2020,5480,,,,,
2/4/2020,5410,,,,,
3/4/2020,5495,,,,,
6/4/2020,5735,,,,,
7/4/2020,5655,,,,,
8/4/2020,5635,,,,,
9/4/2020,5595,,,,,
13/04/2020,5500,,,,,
14/04/2020,5515,,,,,
15/04/2020,5485,,,,,
16/04/2020,5240,,,,,
17/04/2020,5425,,,,,
20/04/2020,5355,,,,,
21/04/2020,5160,,,,,
22/04/2020,5145,,,,,
23/04/2020,5120,,,,,
24/04/2020,4920,,,,,
27/04/2020,4960,,,,,
28/04/2020,4830,,,,,
29/04/2020,4850,,,,,
30/04/2020,5170,,,,,
4/5/2020,5220,,,,,
5/5/2020,5285,,,,,
6/5/2020,5355,,,,,
8/5/2020,5245,,,,,
11/5/2020,5295,,,,,
12/5/2020,5220,,,,,
13/05/2020,5110,,,,,
14/05/2020,4920,,,,,
15/05/2020,4785,,,,,
18/05/2020,4765,,,,,
19/05/2020,4680,,,,,
20/05/2020,4765,,,,,
26/05/2020,4970,,,,,
27/05/2020,4965,,,,,
28/05/2020,5295,,,,,
29/05/2020,5190,,,,,
2/6/2020,5360,,,,,
3/6/2020,5780,,,,,
4/6/2020,5790,,,,,
5/6/2020,5725,,,,,
8/6/2020,5900,,,,,
9/6/2020,5805,,,,,
10/6/2020,5800,,,,,
11/6/2020,5680,,,,,
12/6/2020,5670,,,,,
15/06/2020,5500,,,,,
16/06/2020,5760,,,,,
17/06/2020,5720,,,,,
18/06/2020,5585,,,,,
19/06/2020,5575,,,,,
22/06/2020,5540,,,,,
23/06/2020,5620,,,,,
24/06/2020,5705,,,,,
25/06/2020,5725,,,,,
26/06/2020,5645,,,,,
29/06/2020,5675,,,,,
30/06/2020,5695,,,,,
1/7/2020,5800,,,,,
2/7/2020,5870,,,,,
3/7/2020,5870,,,,,
6/7/2020,5935,,,,,
7/7/2020,5990,,,,,
8/7/2020,6200,,,,,
9/7/2020,6100,,,,,
10/7/2020,6200,,,,,
13/07/2020,6175,,,,,
14/07/2020,6200,,,,,
15/07/2020,6150,,,,,
16/07/2020,6180,,,,,
17/07/2020,6120,,,,,
20/07/2020,6140,,,,,
21/07/2020,6200,,,,,
22/07/2020,6180,,,,,
23/07/2020,6200,,,,,
24/07/2020,6100,,,,,
27/07/2020,6100,,,,,
28/07/2020,6185,,,,,
29/07/2020,6135,,,,,
30/07/2020,6240,,,,,
3/8/2020,6130,,,,,
4/8/2020,6210,,,,,
5/8/2020,6205,,,,,
6/8/2020,6260,,,,,
7/8/2020,6180,,,,,
10/8/2020,6120,,,,,
11/8/2020,6175,,,,,
12/8/2020,6260,,,,,
13/08/2020,6300,,,,,
14/08/2020,6405,,,,,
18/08/2020,6360,,,,,
19/08/2020,6330,,,,,
24/08/2020,6315,,,,,
25/08/2020,6365,,,,,
26/08/2020,6340,,,,,
27/08/2020,6600,,,,,
28/08/2020,6495,,,,,
31/08/2020,6275,,,,,
1/9/2020,6520,,,,,
2/9/2020,6435,,,,,
3/9/2020,6500,,,,,
4/9/2020,6380,,,,,
7/9/2020,6285,,,,,
8/9/2020,6335,,,,,
9/9/2020,6245,,,,,
10/9/2020,5810,,,,,
11/9/2020,5905,,,,,
14/09/2020,6050,,,,,
15/09/2020,5860,,,,,
16/09/2020,5750,,,,,
17/09/2020,5755,,,,,
18/09/2020,5630,,,,,
21/09/2020,5605,,,,,
22/09/2020,5450,,,,,
23/09/2020,5505,,,,,
24/09/2020,5445,,,,,
25/09/2020,5610,,,,,
28/09/2020,5515,,,,,
29/09/2020,5505,,,,,
30/09/2020,5420,,,,,
1/10/2020,5570,,,,,
2/10/2020,5505,,,,,
5/10/2020,5520,,,,,
6/10/2020,5700,,,,,
7/10/2020,5755,,,,,
8/10/2020,5780,,,,,
9/10/2020,5775,,,,,
12/10/2020,5855,,,,,
13/10/2020,5855,,,,,
14/10/2020,5900,,,,,
15/10/2020,5785,,,,,
16/10/2020,5760,,,,,
19/10/2020,5900,,,,,
20/10/2020,5805,,,,,
21/10/2020,5780,,,,,
22/10/2020,5800,,,,,
23/10/2020,5770,,,,,
26/10/2020,5815,,,,,
27/10/2020,5790,,,,,
2/11/2020,5820,,,,,
3/11/2020,5890,,,,,
4/11/2020,5820,,,,,
5/11/2020,6150,,,,,
6/11/2020,6300,,,,,
9/11/2020,6285,,,,,
10/11/2020,6480,,,,,
11/11/2020,6540,,,,,
12/11/2020,6420,,,,,
13/11/2020,6390,,,,,
16/11/2020,6480,,,,,
17/11/2020,6550,,,,,
18/11/2020,6570,,,,,
19/11/2020,6615,,,,,
20/11/2020,6600,,,,,
23/11/2020,6600,,,,,
24/11/2020,6565,,,,,
25/11/2020,6410,,,,,
26/11/2020,6480,,,,,
27/11/2020,6385,,,,,
30/11/2020,6205,,,,,
1/12/2020,6395,,,,,
2/12/2020,6450,,,,,
3/12/2020,6460,,,,,
4/12/2020,6390,,,,,
7/12/2020,6520,,,,,
8/12/2020,6490,,,,,
10/12/2020,6575,,,,,
11/12/2020,6735,,,,,
14/12/2020,6820,,,,,
15/12/2020,6790,,,,,
16/12/2020,6950,,,,,
17/12/2020,6935,,,,,
18/12/2020,6800,,,,,
21/12/2020,6830,,,,,
22/12/2020,6715,,,,,
23/12/2020,6725,,,,,
28/12/2020,6780,,,,,
29/12/2020,6765,,,,,
30/12/2020,6770,,,,,
4/1/2021,6835,,,,,
5/1/2021,7090,,,,,
6/1/2021,6945,,,,,
7/1/2021,6965,,,,,
8/1/2021,7050,,,,,
11/1/2021,7345,,,,,
12/1/2021,7160,,,,,
13/01/2021,7120,,,,,
14/01/2021,7020,,,,,
15/01/2021,6955,,,,,
18/01/2021,7120,,,,,
19/01/2021,7095,,,,,
20/01/2021,7095,,,,,
21/01/2021,7075,,,,,
22/01/2021,7080,,,,,
25/01/2021,7035,,,,,
26/01/2021,6820,,,,,
27/01/2021,6790,,,,,
28/01/2021,6900,,,,,
29/01/2021,6760,,,,,
1/2/2021,6820,,,,,
2/2/2021,6800,,,,,
3/2/2021,6825,,,,,
4/2/2021,6855,,,,,
5/2/2021,6915,,,,,
8/2/2021,6920,,,,,
9/2/2021,6980,,,,,
10/2/2021,6920,,,,,
11/2/2021,6880,,,,,
15/02/2021,6800,,,,,
16/02/2021,6940,,,,,
17/02/2021,6900,,,,,
18/02/2021,6735,,,,,
19/02/2021,6825,,,,,
22/02/2021,6790,,,,,
23/02/2021,6825,,,,,
24/02/2021,6725,,,,,
25/02/2021,6705,,,,,
26/02/2021,6710,,,,,
1/3/2021,7045,,,,,
2/3/2021,7015,,,,,
3/3/2021,7000,,,,,
4/3/2021,6720,,,,,
5/3/2021,6800,,,,,
8/3/2021,6720,,,,,
9/3/2021,6605,,,,,
10/3/2021,6705,,,,,
12/3/2021,6765,,,,,
15/03/2021,6665,,,,,
16/03/2021,6625,,,,,
17/03/2021,6610,,,,,
18/03/2021,6705,,,,,
19/03/2021,6760,,,,,
22/03/2021,6620,,,,,
23/03/2021,6565,,,,,
24/03/2021,6440,,,,,
25/03/2021,6370,,,,,
26/03/2021,6415,,,,,
29/03/2021,6360,,,,,
30/03/2021,6395,,,,,
31/03/2021,6215,,,,,
1/4/2021,6225,,,,,
5/4/2021,6155,,,,,
6/4/2021,6165,,,,,
7/4/2021,6250,,,,,
8/4/2021,6135,,,,,
9/4/2021,6200,,,,,
12/4/2021,6065,,,,,
13/04/2021,6000,,,,,
14/04/2021,6305,,,,,
15/04/2021,6280,,,,,
16/04/2021,6275,,,,,
19/04/2021,6270,,,,,
20/04/2021,6235,,,,,
21/04/2021,6165,,,,,
22/04/2021,6215,,,,,
23/04/2021,6390,,,,,
26/04/2021,6285,,,,,
27/04/2021,6405,,,,,
28/04/2021,6320,,,,,
