Date,Close,,,,,
2/1/2020,7750,,,,,
3/1/2020,7725,,,,,
6/1/2020,7600,,,,,
7/1/2020,7600,,,,,
8/1/2020,7500,,,,,
9/1/2020,7700,,,,,
10/1/2020,7725,,,,,
13/01/2020,7725,,,,,
14/01/2020,7750,,,,,
15/01/2020,7650,,,,,
16/01/2020,7550,,,,,
17/01/2020,7725,,,,,
20/01/2020,7625,,,,,
21/01/2020,7700,,,,,
22/01/2020,7800,,,,,
23/01/2020,7775,,,,,
24/01/2020,7925,,,,,
27/01/2020,7725,,,,,
28/01/2020,7750,,,,,
29/01/2020,7800,,,,,
30/01/2020,7650,,,,,
31/01/2020,7550,,,,,
3/2/2020,7500,,,,,
4/2/2020,7525,,,,,
5/2/2020,7700,,,,,
6/2/2020,7700,,,,,
7/2/2020,7725,,,,,
10/2/2020,7725,,,,,
11/2/2020,7775,,,,,
12/2/2020,7800,,,,,
13/02/2020,7850,,,,,
14/02/2020,7825,,,,,
17/02/2020,7850,,,,,
18/02/2020,7825,,,,,
19/02/2020,7950,,,,,
20/02/2020,8000,,,,,
21/02/2020,7900,,,,,
24/02/2020,7775,,,,,
25/02/2020,7800,,,,,
26/02/2020,7650,,,,,
27/02/2020,7350,,,,,
28/02/2020,7275,,,,,
2/3/2020,6950,,,,,
3/3/2020,7200,,,,,
4/3/2020,7475,,,,,
5/3/2020,7600,,,,,
6/3/2020,7250,,,,,
9/3/2020,6575,,,,,
10/3/2020,6875,,,,,
11/3/2020,6825,,,,,
12/3/2020,6425,,,,,
13/03/2020,6350,,,,,
16/03/2020,5925,,,,,
17/03/2020,5525,,,,,
18/03/2020,5150,,,,,
19/03/2020,4790,,,,,
20/03/2020,4460,,,,,
23/03/2020,4150,,,,,
24/03/2020,3860,,,,,
26/03/2020,4470,,,,,
27/03/2020,4940,,,,,
30/03/2020,4600,,,,,
31/03/2020,4680,,,,,
1/4/2020,4610,,,,,
2/4/2020,4750,,,,,
3/4/2020,5025,,,,,
6/4/2020,5200,,,,,
7/4/2020,5125,,,,,
8/4/2020,4770,,,,,
9/4/2020,4670,,,,,
13/04/2020,4470,,,,,
14/04/2020,4570,,,,,
15/04/2020,4400,,,,,
16/04/2020,4210,,,,,
17/04/2020,4380,,,,,
20/04/2020,4370,,,,,
21/04/2020,4350,,,,,
22/04/2020,4490,,,,,
23/04/2020,4500,,,,,
24/04/2020,4280,,,,,
27/04/2020,4150,,,,,
28/04/2020,4150,,,,,
29/04/2020,4000,,,,,
30/04/2020,4460,,,,,
4/5/2020,4290,,,,,
5/5/2020,4220,,,,,
6/5/2020,4160,,,,,
8/5/2020,4200,,,,,
11/5/2020,4230,,,,,
12/5/2020,4010,,,,,
13/05/2020,4010,,,,,
14/05/2020,3950,,,,,
15/05/2020,3760,,,,,
18/05/2020,3720,,,,,
19/05/2020,3860,,,,,
20/05/2020,4070,,,,,
26/05/2020,4100,,,,,
27/05/2020,4110,,,,,
28/05/2020,4290,,,,,
29/05/2020,4470,,,,,
2/6/2020,4620,,,,,
3/6/2020,4860,,,,,
4/6/2020,4730,,,,,
5/6/2020,4850,,,,,
8/6/2020,5250,,,,,
9/6/2020,5275,,,,,
10/6/2020,4910,,,,,
11/6/2020,4690,,,,,
12/6/2020,4890,,,,,
15/06/2020,4720,,,,,
16/06/2020,5025,,,,,
17/06/2020,4900,,,,,
18/06/2020,4820,,,,,
19/06/2020,4880,,,,,
22/06/2020,4810,,,,,
23/06/2020,4790,,,,,
24/06/2020,5150,,,,,
25/06/2020,5025,,,,,
26/06/2020,5000,,,,,
29/06/2020,4940,,,,,
30/06/2020,4950,,,,,
1/7/2020,4990,,,,,
2/7/2020,5000,,,,,
3/7/2020,5000,,,,,
6/7/2020,5075,,,,,
7/7/2020,5050,,,,,
8/7/2020,5275,,,,,
9/7/2020,5250,,,,,
10/7/2020,5175,,,,,
13/07/2020,5250,,,,,
14/07/2020,5300,,,,,
15/07/2020,5275,,,,,
16/07/2020,5275,,,,,
17/07/2020,5175,,,,,
20/07/2020,5100,,,,,
21/07/2020,5300,,,,,
22/07/2020,5425,,,,,
23/07/2020,5700,,,,,
24/07/2020,5600,,,,,
27/07/2020,5875,,,,,
28/07/2020,5850,,,,,
29/07/2020,5700,,,,,
30/07/2020,5800,,,,,
3/8/2020,5500,,,,,
4/8/2020,5575,,,,,
5/8/2020,5700,,,,,
6/8/2020,5775,,,,,
7/8/2020,5800,,,,,
10/8/2020,5800,,,,,
11/8/2020,5975,,,,,
12/8/2020,6150,,,,,
13/08/2020,6050,,,,,
14/08/2020,6025,,,,,
18/08/2020,6150,,,,,
19/08/2020,6100,,,,,
24/08/2020,6000,,,,,
25/08/2020,6250,,,,,
26/08/2020,6350,,,,,
27/08/2020,6300,,,,,
28/08/2020,6225,,,,,
31/08/2020,5950,,,,,
1/9/2020,6125,,,,,
2/9/2020,6075,,,,,
3/9/2020,5975,,,,,
4/9/2020,5925,,,,,
7/9/2020,5850,,,,,
8/9/2020,5975,,,,,
9/9/2020,5775,,,,,
10/9/2020,5375,,,,,
11/9/2020,5475,,,,,
14/09/2020,5750,,,,,
15/09/2020,5675,,,,,
16/09/2020,5650,,,,,
17/09/2020,5575,,,,,
18/09/2020,5575,,,,,
21/09/2020,5475,,,,,
22/09/2020,5300,,,,,
23/09/2020,5200,,,,,
24/09/2020,5075,,,,,
25/09/2020,5350,,,,,
28/09/2020,5150,,,,,
29/09/2020,5075,,,,,
30/09/2020,4960,,,,,
1/10/2020,5200,,,,,
2/10/2020,5200,,,,,
5/10/2020,5350,,,,,
6/10/2020,5500,,,,,
7/10/2020,5550,,,,,
8/10/2020,5450,,,,,
9/10/2020,5550,,,,,
12/10/2020,5625,,,,,
13/10/2020,5675,,,,,
14/10/2020,5775,,,,,
15/10/2020,5600,,,,,
16/10/2020,5575,,,,,
19/10/2020,5700,,,,,
20/10/2020,5650,,,,,
21/10/2020,5525,,,,,
22/10/2020,5450,,,,,
23/10/2020,5550,,,,,
26/10/2020,5775,,,,,
27/10/2020,5775,,,,,
2/11/2020,5975,,,,,
3/11/2020,6000,,,,,
4/11/2020,5700,,,,,
5/11/2020,5975,,,,,
6/11/2020,6050,,,,,
9/11/2020,6150,,,,,
10/11/2020,6375,,,,,
11/11/2020,6375,,,,,
12/11/2020,6175,,,,,
13/11/2020,6250,,,,,
16/11/2020,6200,,,,,
17/11/2020,6250,,,,,
18/11/2020,6350,,,,,
19/11/2020,6325,,,,,
20/11/2020,6300,,,,,
23/11/2020,6400,,,,,
24/11/2020,6425,,,,,
25/11/2020,6525,,,,,
26/11/2020,6725,,,,,
27/11/2020,6650,,,,,
30/11/2020,6325,,,,,
1/12/2020,6525,,,,,
2/12/2020,6650,,,,,
3/12/2020,6575,,,,,
4/12/2020,6600,,,,,
7/12/2020,6700,,,,,
8/12/2020,6675,,,,,
10/12/2020,6800,,,,,
11/12/2020,6775,,,,,
14/12/2020,6725,,,,,
15/12/2020,6700,,,,,
16/12/2020,6775,,,,,
17/12/2020,6875,,,,,
18/12/2020,6700,,,,,
21/12/2020,6700,,,,,
22/12/2020,6400,,,,,
23/12/2020,6350,,,,,
28/12/2020,6525,,,,,
29/12/2020,6425,,,,,
30/12/2020,6325,,,,,
4/1/2021,6500,,,,,
