Date,Close,,,,,
2/1/2020,7975,,,,,
3/1/2020,8025,,,,,
6/1/2020,8000,,,,,
7/1/2020,8200,,,,,
8/1/2020,8225,,,,,
9/1/2020,8250,,,,,
10/1/2020,8250,,,,,
13/01/2020,8150,,,,,
14/01/2020,8125,,,,,
15/01/2020,8050,,,,,
16/01/2020,8175,,,,,
17/01/2020,8250,,,,,
20/01/2020,8250,,,,,
21/01/2020,8250,,,,,
22/01/2020,8050,,,,,
23/01/2020,8150,,,,,
24/01/2020,8200,,,,,
27/01/2020,8125,,,,,
28/01/2020,8125,,,,,
29/01/2020,7925,,,,,
30/01/2020,7900,,,,,
31/01/2020,7825,,,,,
3/2/2020,7675,,,,,
4/2/2020,7750,,,,,
5/2/2020,7750,,,,,
6/2/2020,7700,,,,,
7/2/2020,7850,,,,,
10/2/2020,7750,,,,,
11/2/2020,7675,,,,,
12/2/2020,7000,,,,,
13/02/2020,7000,,,,,
14/02/2020,7150,,,,,
17/02/2020,7150,,,,,
18/02/2020,7100,,,,,
19/02/2020,7050,,,,,
20/02/2020,7300,,,,,
21/02/2020,7200,,,,,
24/02/2020,7200,,,,,
25/02/2020,7225,,,,,
26/02/2020,7025,,,,,
27/02/2020,6900,,,,,
28/02/2020,6500,,,,,
2/3/2020,6675,,,,,
3/3/2020,7125,,,,,
4/3/2020,7175,,,,,
5/3/2020,7200,,,,,
6/3/2020,6950,,,,,
9/3/2020,6375,,,,,
10/3/2020,6750,,,,,
11/3/2020,6800,,,,,
12/3/2020,6650,,,,,
13/03/2020,6900,,,,,
16/03/2020,6425,,,,,
17/03/2020,6125,,,,,
18/03/2020,6075,,,,,
19/03/2020,5650,,,,,
20/03/2020,5750,,,,,
23/03/2020,5350,,,,,
24/03/2020,5050,,,,,
26/03/2020,5975,,,,,
27/03/2020,6800,,,,,
30/03/2020,6350,,,,,
31/03/2020,6350,,,,,
1/4/2020,6350,,,,,
2/4/2020,6800,,,,,
3/4/2020,6600,,,,,
6/4/2020,6725,,,,,
7/4/2020,6525,,,,,
8/4/2020,6250,,,,,
9/4/2020,6375,,,,,
13/04/2020,6400,,,,,
14/04/2020,6450,,,,,
15/04/2020,6425,,,,,
16/04/2020,6050,,,,,
17/04/2020,6250,,,,,
20/04/2020,6225,,,,,
21/04/2020,6275,,,,,
22/04/2020,6300,,,,,
23/04/2020,6525,,,,,
24/04/2020,6325,,,,,
27/04/2020,6300,,,,,
28/04/2020,6475,,,,,
29/04/2020,6675,,,,,
30/04/2020,6525,,,,,
4/5/2020,6600,,,,,
5/5/2020,6525,,,,,
6/5/2020,6500,,,,,
8/5/2020,6625,,,,,
11/5/2020,6525,,,,,
12/5/2020,6325,,,,,
13/05/2020,6325,,,,,
14/05/2020,6575,,,,,
15/05/2020,6575,,,,,
18/05/2020,6500,,,,,
19/05/2020,6750,,,,,
20/05/2020,6425,,,,,
26/05/2020,6000,,,,,
27/05/2020,5600,,,,,
28/05/2020,5675,,,,,
29/05/2020,5750,,,,,
2/6/2020,6025,,,,,
3/6/2020,6200,,,,,
4/6/2020,6150,,,,,
5/6/2020,6150,,,,,
8/6/2020,6200,,,,,
9/6/2020,6300,,,,,
10/6/2020,6150,,,,,
11/6/2020,6100,,,,,
12/6/2020,6100,,,,,
15/06/2020,6200,,,,,
16/06/2020,6400,,,,,
17/06/2020,6550,,,,,
18/06/2020,6475,,,,,
19/06/2020,6575,,,,,
22/06/2020,6575,,,,,
23/06/2020,6425,,,,,
24/06/2020,6525,,,,,
25/06/2020,6375,,,,,
26/06/2020,6675,,,,,
29/06/2020,6750,,,,,
30/06/2020,6525,,,,,
1/7/2020,6550,,,,,
2/7/2020,6575,,,,,
3/7/2020,6675,,,,,
6/7/2020,6625,,,,,
7/7/2020,6575,,,,,
8/7/2020,6625,,,,,
9/7/2020,6550,,,,,
10/7/2020,6500,,,,,
13/07/2020,6575,,,,,
14/07/2020,6600,,,,,
15/07/2020,6525,,,,,
16/07/2020,6625,,,,,
17/07/2020,6550,,,,,
20/07/2020,6600,,,,,
21/07/2020,6675,,,,,
22/07/2020,6675,,,,,
23/07/2020,6725,,,,,
24/07/2020,6475,,,,,
27/07/2020,6475,,,,,
28/07/2020,6425,,,,,
29/07/2020,6400,,,,,
30/07/2020,6450,,,,,
3/8/2020,6475,,,,,
4/8/2020,6750,,,,,
5/8/2020,7075,,,,,
6/8/2020,7025,,,,,
7/8/2020,6875,,,,,
10/8/2020,6975,,,,,
11/8/2020,7050,,,,,
12/8/2020,7050,,,,,
13/08/2020,7225,,,,,
14/08/2020,7325,,,,,
18/08/2020,7250,,,,,
19/08/2020,7200,,,,,
24/08/2020,7500,,,,,
25/08/2020,7850,,,,,
26/08/2020,7675,,,,,
27/08/2020,7675,,,,,
28/08/2020,7625,,,,,
31/08/2020,7625,,,,,
1/9/2020,7650,,,,,
2/9/2020,7750,,,,,
3/9/2020,7725,,,,,
4/9/2020,7600,,,,,
7/9/2020,7800,,,,,
8/9/2020,7900,,,,,
9/9/2020,7575,,,,,
10/9/2020,7250,,,,,
11/9/2020,7575,,,,,
14/09/2020,7800,,,,,
15/09/2020,7675,,,,,
16/09/2020,7600,,,,,
17/09/2020,7400,,,,,
18/09/2020,7525,,,,,
21/09/2020,7525,,,,,
22/09/2020,7525,,,,,
23/09/2020,7425,,,,,
24/09/2020,7125,,,,,
25/09/2020,7125,,,,,
28/09/2020,7000,,,,,
29/09/2020,7000,,,,,
30/09/2020,7150,,,,,
1/10/2020,7175,,,,,
2/10/2020,7075,,,,,
