Date,Close
2/1/2020,21500
3/1/2020,21275
6/1/2020,21575
7/1/2020,21250
8/1/2020,21550
9/1/2020,21325
10/1/2020,22250
13/01/2020,23050
14/01/2020,22700
15/01/2020,22000
16/01/2020,21900
17/01/2020,21775
20/01/2020,21500
21/01/2020,21075
22/01/2020,20600
23/01/2020,20350
24/01/2020,20200
27/01/2020,19925
28/01/2020,19875
29/01/2020,20025
30/01/2020,19975
31/01/2020,19200
3/2/2020,19075
4/2/2020,18775
5/2/2020,18750
6/2/2020,18700
7/2/2020,18800
10/2/2020,18275
11/2/2020,18025
12/2/2020,17700
13/02/2020,17625
14/02/2020,18325
17/02/2020,18350
18/02/2020,18350
19/02/2020,18475
20/02/2020,18425
21/02/2020,18225
24/02/2020,17900
25/02/2020,18275
26/02/2020,18000
27/02/2020,17575
28/02/2020,16600
2/3/2020,16675
3/3/2020,17650
4/3/2020,18500
5/3/2020,18025
6/3/2020,17300
9/3/2020,15800
10/3/2020,16525
11/3/2020,16300
12/3/2020,15200
13/03/2020,15600
16/03/2020,14525
17/03/2020,13525
18/03/2020,13400
19/03/2020,12600
20/03/2020,14850
23/03/2020,13825
24/03/2020,13975
26/03/2020,15025
27/03/2020,15500
30/03/2020,14425
31/03/2020,16900
1/4/2020,16625
2/4/2020,16900
3/4/2020,17150
6/4/2020,18000
7/4/2020,17600
8/4/2020,17500
9/4/2020,17125
13/04/2020,17550
14/04/2020,18250
15/04/2020,17725
16/04/2020,16625
17/04/2020,17325
20/04/2020,17300
21/04/2020,16400
22/04/2020,16250
23/04/2020,16200
24/04/2020,16225
27/04/2020,16400
28/04/2020,15550
29/04/2020,15600
30/04/2020,16300
4/5/2020,15525
5/5/2020,15200
6/5/2020,15300
8/5/2020,15825
11/5/2020,15725
12/5/2020,15500
13/05/2020,15275
14/05/2020,15000
15/05/2020,14250
18/05/2020,14150
19/05/2020,14500
20/05/2020,14600
26/05/2020,15075
27/05/2020,14950
28/05/2020,15100
29/05/2020,15700
2/6/2020,16375
3/6/2020,17075
4/6/2020,17000
5/6/2020,17100
8/6/2020,17550
9/6/2020,17775
10/6/2020,17225
11/6/2020,16450
12/6/2020,16450
15/06/2020,16125
16/06/2020,16950
17/06/2020,17700
18/06/2020,17650
19/06/2020,17850
22/06/2020,16900
23/06/2020,16575
24/06/2020,16725
25/06/2020,16475
26/06/2020,16475
29/06/2020,16700
30/06/2020,16550
1/7/2020,17000
2/7/2020,17150
3/7/2020,17150
6/7/2020,17225
7/7/2020,17325
8/7/2020,18450
9/7/2020,18450
10/7/2020,17925
13/07/2020,18500
14/07/2020,18325
15/07/2020,18250
16/07/2020,18325
17/07/2020,18450
20/07/2020,18400
21/07/2020,19325
22/07/2020,20000
23/07/2020,20075
24/07/2020,19450
27/07/2020,21000
28/07/2020,21600
29/07/2020,21500
30/07/2020,21350
3/8/2020,20450
4/8/2020,20450
5/8/2020,21525
6/8/2020,23775
7/8/2020,24700
10/8/2020,24775
11/8/2020,24275
12/8/2020,23525
13/08/2020,23300
14/08/2020,23075
18/08/2020,23600
19/08/2020,23475
24/08/2020,23000
25/08/2020,23550
26/08/2020,23250
27/08/2020,23525
28/08/2020,23425
31/08/2020,23000
1/9/2020,23500
2/9/2020,23350
3/9/2020,23400
4/9/2020,23100
7/9/2020,23150
8/9/2020,23150
9/9/2020,22650
10/9/2020,21400
11/9/2020,22925
14/09/2020,23000
15/09/2020,23875
16/09/2020,24025
17/09/2020,23400
18/09/2020,23800
21/09/2020,23600
22/09/2020,22825
23/09/2020,23150
24/09/2020,22875
25/09/2020,23200
28/09/2020,22575
29/09/2020,22650
30/09/2020,22800
1/10/2020,22775
2/10/2020,22675
5/10/2020,22325
6/10/2020,22625
7/10/2020,22275
8/10/2020,22600
9/10/2020,22400
12/10/2020,22500
13/10/2020,22500
14/10/2020,22475
15/10/2020,21700
16/10/2020,21875
19/10/2020,22050
20/10/2020,22275
21/10/2020,22275
22/10/2020,22150
23/10/2020,21925
26/10/2020,21725
27/10/2020,21125
2/11/2020,20450
3/11/2020,20900
4/11/2020,20600
5/11/2020,20875
6/11/2020,20975
9/11/2020,20875
10/11/2020,20650
11/11/2020,21450
12/11/2020,21100
13/11/2020,21125
16/11/2020,21250
17/11/2020,21050
18/11/2020,21000
19/11/2020,21500
20/11/2020,21300
23/11/2020,22100
24/11/2020,22425
25/11/2020,24225
26/11/2020,24500
27/11/2020,24725
30/11/2020,23000
1/12/2020,24175
2/12/2020,26000
3/12/2020,26100
4/12/2020,26500
7/12/2020,26975
8/12/2020,26775
10/12/2020,26025
11/12/2020,26150
14/12/2020,27400
15/12/2020,26575
16/12/2020,27175
17/12/2020,27125
18/12/2020,26625
21/12/2020,28275
22/12/2020,26450
23/12/2020,26075
28/12/2020,26925
29/12/2020,26500
30/12/2020,26600
4/1/2021,26650
5/1/2021,26300
6/1/2021,25800
7/1/2021,26800
8/1/2021,27275
11/1/2021,26550
12/1/2021,26225
13/01/2021,26200
14/01/2021,26300
15/01/2021,26200
18/01/2021,26700
19/01/2021,25925
20/01/2021,25975
21/01/2021,25900
22/01/2021,25175
25/01/2021,24250
26/01/2021,23950
27/01/2021,23400
28/01/2021,23875
29/01/2021,22850
1/2/2021,23850
2/2/2021,22575
3/2/2021,22450
4/2/2021,22350
5/2/2021,23100
8/2/2021,24325
9/2/2021,23525
10/2/2021,23475
11/2/2021,23500
15/02/2021,23250
16/02/2021,23100
17/02/2021,22850
18/02/2021,22975
19/02/2021,23075
22/02/2021,23250
23/02/2021,23125
24/02/2021,22550
25/02/2021,23650
26/02/2021,22550
1/3/2021,22950
2/3/2021,22900
3/3/2021,22775
4/3/2021,22350
5/3/2021,21800
8/3/2021,23325
9/3/2021,22525
10/3/2021,21200
12/3/2021,21225
15/03/2021,21100
16/03/2021,21175
17/03/2021,21050
18/03/2021,21700
19/03/2021,21875
22/03/2021,21625
23/03/2021,21450
24/03/2021,21100
25/03/2021,21350
26/03/2021,21900
29/03/2021,21800
30/03/2021,21500
31/03/2021,22125
1/4/2021,22175
5/4/2021,22200
6/4/2021,22325
7/4/2021,22325
8/4/2021,22575
9/4/2021,22725
12/4/2021,21425
13/04/2021,22525
14/04/2021,22250
15/04/2021,21700
16/04/2021,22075
19/04/2021,22200
20/04/2021,22000
21/04/2021,22475
22/04/2021,21550
23/04/2021,21600
26/04/2021,21550
27/04/2021,21600
28/04/2021,21425
29/04/2021,21375
30/04/2021,21175
3/5/2021,20950
4/5/2021,21575
5/5/2021,22175
6/5/2021,21800
7/5/2021,21750
10/5/2021,21750
11/5/2021,21450
17/05/2021,21425
18/05/2021,21900
19/05/2021,21875
20/05/2021,22025
21/05/2021,21675
24/05/2021,21200
25/05/2021,21500
27/05/2021,21650
28/05/2021,21825
31/05/2021,22550
2/6/2021,23775
3/6/2021,23650
4/6/2021,23525
7/6/2021,22975
8/6/2021,23425
9/6/2021,23375
10/6/2021,22600
11/6/2021,22975
14/06/2021,22500
15/06/2021,22050
16/06/2021,22650
17/06/2021,22000
18/06/2021,22775
21/06/2021,21600
22/06/2021,21625
23/06/2021,21100
24/06/2021,21300
25/06/2021,21350
28/06/2021,20400
29/06/2021,20250
30/06/2021,20250
1/7/2021,20325
2/7/2021,20400
5/7/2021,20225
6/7/2021,20750
7/7/2021,20375
8/7/2021,20050
9/7/2021,19500
12/7/2021,19475
13/07/2021,19025
14/07/2021,18600
15/07/2021,19225
16/07/2021,19300
19/07/2021,19100
21/07/2021,19050
22/07/2021,20125
23/07/2021,19750
26/07/2021,20200
27/07/2021,20000
28/07/2021,19775
29/07/2021,19750
30/07/2021,19550
2/8/2021,19300
3/8/2021,19150
4/8/2021,18925
5/8/2021,18900
6/8/2021,18900
9/8/2021,18700
10/8/2021,19000
12/8/2021,20700
13/08/2021,20650
16/08/2021,20175
18/08/2021,19725
19/08/2021,19300
20/08/2021,19000
23/08/2021,19025
24/08/2021,18825
25/08/2021,19125
26/08/2021,19275
27/08/2021,19475
30/08/2021,20000
31/08/2021,20075
1/9/2021,20050
2/9/2021,20325
3/9/2021,21375
6/9/2021,21750
7/9/2021,21550
8/9/2021,20900
9/9/2021,21800
10/9/2021,21225
13/09/2021,20875
14/09/2021,21400
15/09/2021,21650
16/09/2021,21650
17/09/2021,20500
20/09/2021,20575
21/09/2021,20600
22/09/2021,20875
23/09/2021,21075
