===== FORGET GATE =====
      0        1        2        3        4        5        6        7        8        9        10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49
0.573708 0.544074 0.495488 0.489138 0.446738 0.524702 0.454025 0.441133 0.503699 0.576536 0.605547 0.494317 0.532741 0.512418 0.493511 0.641327 0.464505 0.548633 0.476582 0.950593 0.521202 0.558583 0.470390 0.560834 0.558668 0.479911 0.516343 0.546595 0.544561 0.516606 0.475625 0.532042 0.472087 0.512238 0.479362 0.438427 0.530649 0.571179 0.525755 0.517694 0.451263 0.648719 0.484347 0.520161 0.568386 0.500875 0.486823 0.436217 0.487066 0.567912
0.573151 0.543878 0.495516 0.489337 0.447042 0.524503 0.454350 0.441519 0.503623 0.575883 0.604879 0.494334 0.532432 0.512294 0.493532 0.640227 0.464718 0.548323 0.476720 0.949776 0.520884 0.558197 0.470663 0.560474 0.558092 0.480124 0.516291 0.546310 0.544233 0.516474 0.475866 0.531680 0.472320 0.512209 0.479487 0.438860 0.530342 0.570510 0.525594 0.517520 0.451686 0.647582 0.484479 0.520125 0.567935 0.501024 0.486896 0.436681 0.487250 0.567457
0.571276 0.542637 0.495813 0.488652 0.449063 0.523834 0.454081 0.443027 0.503282 0.573825 0.604102 0.494259 0.530685 0.512158 0.493456 0.637370 0.466209 0.548587 0.476912 0.947881 0.521104 0.556340 0.470175 0.559647 0.555808 0.481005 0.515897 0.545430 0.543132 0.516843 0.476610 0.529950 0.473436 0.511816 0.480387 0.440758 0.529101 0.569529 0.524791 0.516936 0.453413 0.644206 0.484909 0.519766 0.565521 0.500783 0.486796 0.438004 0.487879 0.565916
0.569447 0.542161 0.495843 0.489632 0.449448 0.523090 0.455421 0.443599 0.503023 0.571857 0.601778 0.494352 0.529878 0.511927 0.493645 0.633824 0.466566 0.547089 0.477339 0.945091 0.519801 0.555363 0.471343 0.558589 0.554014 0.481425 0.515733 0.544553 0.542254 0.516353 0.477395 0.528998 0.473937 0.511746 0.480643 0.441870 0.528240 0.566644 0.524454 0.516148 0.454448 0.640894 0.485317 0.519708 0.564484 0.501518 0.487158 0.439325 0.488326 0.564620
0.567773 0.541700 0.495692 0.490542 0.449895 0.522619 0.457099 0.444614 0.502997 0.569718 0.599127 0.494764 0.529298 0.511696 0.494037 0.630095 0.467009 0.545709 0.477791 0.941869 0.518598 0.554222 0.472746 0.557413 0.552732 0.482010 0.515545 0.543696 0.541490 0.515721 0.478146 0.528197 0.474749 0.511616 0.480770 0.443200 0.527566 0.564484 0.524265 0.515540 0.455763 0.637428 0.486177 0.519672 0.563365 0.502188 0.487760 0.440850 0.488784 0.563485
0.567575 0.542194 0.495175 0.492140 0.448859 0.522793 0.459312 0.444930 0.503414 0.568983 0.596626 0.495323 0.530191 0.511404 0.494567 0.628286 0.466272 0.544127 0.478126 0.939726 0.517077 0.554450 0.474771 0.556649 0.553453 0.481989 0.515628 0.543435 0.541523 0.514550 0.478325 0.528773 0.474838 0.511873 0.480151 0.443168 0.527872 0.563350 0.524758 0.515515 0.455917 0.636152 0.486855 0.519904 0.564041 0.503094 0.488568 0.441569 0.488825 0.563520
0.569133 0.543226 0.494531 0.493130 0.447383 0.523737 0.460658 0.445003 0.504191 0.569989 0.595833 0.495830 0.532020 0.511153 0.494960 0.629557 0.465067 0.543770 0.478119 0.940036 0.516484 0.555670 0.476043 0.556673 0.556023 0.481594 0.515889 0.543931 0.542333 0.513549 0.477772 0.530338 0.474459 0.512304 0.479198 0.442056 0.529010 0.564897 0.525624 0.516335 0.455139 0.637665 0.487192 0.520214 0.565792 0.503432 0.489144 0.441216 0.488490 0.564747
0.570650 0.543326 0.494396 0.492061 0.447903 0.524580 0.459558 0.445880 0.504678 0.571217 0.597459 0.495770 0.532531 0.510978 0.494774 0.632154 0.465157 0.545653 0.477762 0.941963 0.517769 0.556056 0.474917 0.557145 0.557631 0.481570 0.515903 0.544459 0.542789 0.513750 0.477127 0.530859 0.474485 0.512432 0.479163 0.441600 0.529541 0.568393 0.525777 0.517348 0.454861 0.639420 0.487029 0.520116 0.565987 0.502538 0.488857 0.440581 0.488355 0.565594
0.571714 0.543376 0.494626 0.491106 0.448353 0.524893 0.457947 0.445950 0.504673 0.572546 0.599518 0.495256 0.532580 0.510875 0.494264 0.634701 0.465202 0.547185 0.477444 0.944144 0.518851 0.556568 0.473481 0.557799 0.558194 0.481352 0.515975 0.544916 0.542991 0.514252 0.476624 0.531040 0.474099 0.512568 0.479350 0.440945 0.529727 0.570425 0.525628 0.517977 0.454242 0.641223 0.486213 0.520001 0.566226 0.501802 0.488189 0.439716 0.488237 0.566055
0.572089 0.543367 0.495011 0.490444 0.448680 0.524807 0.456653 0.445566 0.504338 0.573338 0.601056 0.494785 0.532325 0.510916 0.493790 0.636152 0.465336 0.547952 0.477314 0.945610 0.519521 0.556833 0.472418 0.558329 0.557914 0.481239 0.516087 0.545166 0.542991 0.514824 0.476425 0.530941 0.473757 0.512544 0.479575 0.440556 0.529666 0.570962 0.525336 0.518155 0.453789 0.642371 0.485471 0.519942 0.566313 0.501382 0.487583 0.439109 0.488186 0.566096
